,seeds,a82fed9,5d53d16,1a8d73d,5929c6b,228b9fd,613b70d,max,vs max,vs others,win
41,42,19083,18986,19019,17517,15229,14482,24350,0.7836960985626283,1.003365055996635,0.6309523809523809
42,43,158968,158106,154503,145208,140751,142103,182930,0.8690100038266003,1.0054520385058126,0.6395348837209303
43,44,598025,598035,600840,444993,405001,454216,770933,0.7757159182445167,0.995314892483856,0.625
44,45,563714,564162,563769,503375,473226,486560,627809,0.8979068474647544,0.9992059018508868,0.6111111111111112
45,46,1046075,1045631,1062247,857273,829011,764246,1352358,0.7735192900104854,0.984775668935756,0.5978260869565217
46,47,98112,98220,95894,84860,71938,82907,112870,0.8692478072118366,0.9989004276114845,0.5851063829787234
47,48,653482,638394,636969,547710,534991,528849,875434,0.746466324131802,1.0236343073399812,0.59375
48,49,109835,109934,111234,97611,93095,95369,133460,0.8229806683650532,0.9874229102612511,0.5816326530612245
49,50,44180,44180,43645,40051,37295,40063,48807,0.9051980248734812,1.0,0.58
50,51,163723,162234,164373,125655,105425,112848,216376,0.7566597034791289,0.9960455792618009,0.5686274509803921
51,52,65057,65037,63439,56647,45793,46371,76995,0.8449509708422624,1.0003075172594063,0.5769230769230769
52,53,158679,157912,157629,129342,113906,126127,192161,0.8257606902545261,1.0048571356198388,0.5849056603773585
53,54,285045,284985,284293,258586,245172,264321,312222,0.9129561658051002,1.0002105373967052,0.5925925925925926
54,55,781572,775940,780470,725266,714623,711196,873397,0.8948645346846852,1.001411969710559,0.6
55,56,88163,88151,87497,84398,75912,83532,93535,0.9425669535468006,1.0001361300495741,0.6071428571428571
56,57,278156,278419,278801,258892,244781,250430,316816,0.8779733346800667,0.9976865219278267,0.5964912280701754
57,58,706518,706185,714892,540543,510032,487345,949955,0.7437383876078341,0.9882863425524415,0.5862068965517241
58,59,150728,151167,150173,144749,139450,140997,169733,0.888030023625341,0.997095927021109,0.576271186440678
59,60,32001,31851,32313,25652,23575,21963,43519,0.7353339920494497,0.9903444434128679,0.5666666666666667
60,61,20739,20734,20663,20417,17663,19934,21606,0.9598722577061928,1.0002411498022572,0.5737704918032787
61,62,83952,83961,80707,70394,56343,62915,99015,0.8478715346159673,0.9998928073748526,0.5645161290322581
62,63,256800,254758,253564,221024,212792,214969,322282,0.7968176938209395,1.0080154499564293,0.5714285714285714
63,64,389730,381252,380489,322137,315095,277197,482347,0.807986781300599,1.0222372603946996,0.578125
64,65,54763,54486,54366,50917,48797,50164,63632,0.8606204425446317,1.0050838747568183,0.5846153846153846
65,66,65803,65712,65420,63894,57220,60158,70015,0.9398414625437407,1.0013848307767226,0.5909090909090909
66,67,422161,420988,420531,341997,311862,317641,600485,0.7030333813500753,1.0027863026974642,0.5970149253731343
67,68,743265,742049,736749,612173,588312,574147,928301,0.8006724112114497,1.0016387057997518,0.6029411764705882
68,69,25768,25596,25405,22679,21019,22443,28559,0.9022724885325116,1.0067197999687452,0.6086956521739131
69,70,31117,31117,30994,30756,29723,30437,31731,0.9806498376981501,1.0,0.6071428571428571
